market,region,district,date,commodity,price_type,price,currency,source
Makola,Greater Accra,AMA-Okaikoi South,2025-04-16,Eggplants,Wholesale,17.86,GHS,MoFA SRID
Makola,Greater Accra,AMA-Okaikoi South,2025-04-16,Maize,Wholesale,9.0,GHS,MoFA SRID
Makola,Greater Accra,AMA-Okaikoi South,2025-04-16,Maize (yellow),Wholesale,9.56,GHS,MoFA SRID
Makola,Greater Accra,AMA-Okaikoi South,2025-04-16,Millet,Wholesale,13.97,GHS,MoFA SRID
Makola,Greater Accra,AMA-Okaikoi South,2025-04-16,Onions,Wholesale,15.04,GHS,MoFA SRID
Makola,Greater Accra,AMA-Okaikoi South,2025-04-16,Peppers (dried),Wholesale,120.0,GHS,MoFA SRID
Makola,Greater Accra,AMA-Okaikoi South,2025-04-16,Peppers (fresh),Wholesale,27.95,GHS,MoFA SRID
Makola,Greater Accra,AMA-Okaikoi South,2025-04-16,Plantains (apentu),Wholesale,31.25,GHS,MoFA SRID
Makola,Greater Accra,AMA-Okaikoi South,2025-04-16,Rice (imported),Wholesale,16.33,GHS,MoFA SRID
Makola,Greater Accra,AMA-Okaikoi South,2025-04-16,Rice (local),Wholesale,15.4,GHS,MoFA SRID
Makola,Greater Accra,AMA-Okaikoi South,2025-04-16,Sorghum,Wholesale,4.37,GHS,MoFA SRID
Makola,Greater Accra,AMA-Okaikoi South,2025-04-16,Tomatoes (local),Wholesale,13.33,GHS,MoFA SRID
Makola,Greater Accra,AMA-Okaikoi South,2025-04-16,Tomatoes (navrongo),Wholesale,15.73,GHS,MoFA SRID
Agbogbloshie,Greater Accra,AMA-Okaikoi South,2025-04-21,Eggplants,Retail,22.22,GHS,MoFA SRID
Agbogbloshie,Greater Accra,AMA-Okaikoi South,2025-04-21,Eggs,Retail,65.0,GHS,MoFA SRID
Agbogbloshie,Greater Accra,AMA-Okaikoi South,2025-04-21,Gari,Retail,12.0,GHS,MoFA SRID
Agbogbloshie,Greater Accra,AMA-Okaikoi South,2025-04-21,Maize,Retail,11.2,GHS,MoFA SRID
Agbogbloshie,Greater Accra,AMA-Okaikoi South,2025-04-21,Maize (yellow),Retail,12.0,GHS,MoFA SRID
Agbogbloshie,Greater Accra,AMA-Okaikoi South,2025-04-21,Millet,Retail,16.89,GHS,MoFA SRID
Agbogbloshie,Greater Accra,AMA-Okaikoi South,2025-04-21,Onions,Retail,22.54,GHS,MoFA SRID
Agbogbloshie,Greater Accra,AMA-Okaikoi South,2025-04-21,Peppers (dried),Retail,36.11,GHS,MoFA SRID
Agbogbloshie,Greater Accra,AMA-Okaikoi South,2025-04-21,Peppers (fresh),Retail,25.0,GHS,MoFA SRID
Agbogbloshie,Greater Accra,AMA-Okaikoi South,2025-04-21,Plantains (apem),Retail,33.33,GHS,MoFA SRID
Agbogbloshie,Greater Accra,AMA-Okaikoi South,2025-04-21,Plantains (apentu),Retail,33.33,GHS,MoFA SRID
Agbogbloshie,Greater Accra,AMA-Okaikoi South,2025-04-21,Rice (imported),Retail,17.67,GHS,MoFA SRID
Agbogbloshie,Greater Accra,AMA-Okaikoi South,2025-04-21,Rice (local),Retail,16.67,GHS,MoFA SRID
Agbogbloshie,Greater Accra,AMA-Okaikoi South,2025-04-21,Sorghum,Retail,10.94,GHS,MoFA SRID
Agbogbloshie,Greater Accra,AMA-Okaikoi South,2025-04-21,Tomatoes (local),Retail,15.73,GHS,MoFA SRID
Agbogbloshie,Greater Accra,AMA-Okaikoi South,2025-04-21,Tomatoes (navrongo),Retail,19.46,GHS,MoFA SRID
Makola,Greater Accra,AMA-Okaikoi South,2025-04-21,Eggplants,Retail,33.33,GHS,MoFA SRID
Makola,Greater Accra,AMA-Okaikoi South,2025-04-21,Eggs,Retail,63.33,GHS,MoFA SRID
Makola,Greater Accra,AMA-Okaikoi South,2025-04-21,Gari,Retail,28.0,GHS,MoFA SRID
Makola,Greater Accra,AMA-Okaikoi South,2025-04-21,Maize,Retail,12.0,GHS,MoFA SRID
Makola,Greater Accra,AMA-Okaikoi South,2025-04-21,Maize (yellow),Retail,13.33,GHS,MoFA SRID
Makola,Greater Accra,AMA-Okaikoi South,2025-04-21,Millet,Retail,18.75,GHS,MoFA SRID
Makola,Greater Accra,AMA-Okaikoi South,2025-04-21,Onions,Retail,28.57,GHS,MoFA SRID
Makola,Greater Accra,AMA-Okaikoi South,2025-04-21,Peppers (fresh),Retail,25.0,GHS,MoFA SRID
Makola,Greater Accra,AMA-Okaikoi South,2025-04-21,Plantains (apem),Retail,40.0,GHS,MoFA SRID
Makola,Greater Accra,AMA-Okaikoi South,2025-04-21,Plantains (apentu),Retail,40.0,GHS,MoFA SRID
