countryiso3,date,admin1,admin2,market,latitude,longitude,category,commodity,unit,pricetype,currency,price
GHA,1/15/2015,ASHANTI,EJURA SEKYE DUMASE,Ejura,7.38,-1.37,cereals and tubers,Cassava,91 KG,Wholesale,GHS,25
GHA,1/15/2015,ASHANTI,EJURA SEKYE DUMASE,Ejura,7.38,-1.37,cereals and tubers,Maize,100 KG,Wholesale,GHS,69
GHA,1/15/2015,ASHANTI,EJURA SEKYE DUMASE,Ejura,7.38,-1.37,cereals and tubers,Rice (imported),50 KG,Wholesale,GHS,230
GHA,1/15/2015,ASHANTI,EJURA SEKYE DUMASE,Ejura,7.38,-1.37,cereals and tubers,Rice (local),50 KG,Wholesale,GHS,100
GHA,1/15/2015,ASHANTI,EJURA SEKYE DUMASE,Ejura,7.38,-1.37,cereals and tubers,Yam,100 Tubers,Wholesale,GHS,220
GHA,1/15/2015,ASHANTI,EJURA SEKYE DUMASE,Ejura,7.38,-1.37,vegetables and fruits,Plantains (apentu),Bunch,Wholesale,GHS,10
GHA,1/15/2015,ASHANTI,KMA,Kumasi,6.68,-1.62,cereals and tubers,Cassava,91 KG,Wholesale,GHS,24
GHA,1/15/2015,ASHANTI,KMA,Kumasi,6.68,-1.62,cereals and tubers,Maize,100 KG,Wholesale,GHS,125
GHA,1/15/2015,ASHANTI,KMA,Kumasi,6.68,-1.62,cereals and tubers,Millet,93 KG,Wholesale,GHS,167
GHA,1/15/2015,ASHANTI,KMA,Kumasi,6.68,-1.62,cereals and tubers,Rice (imported),50 KG,Wholesale,GHS,280
GHA,1/15/2015,ASHANTI,KMA,Kumasi,6.68,-1.62,cereals and tubers,Rice (local),50 KG,Wholesale,GHS,130
GHA,1/15/2015,ASHANTI,KMA,Kumasi,6.68,-1.62,cereals and tubers,Rice (paddy),84 KG,Wholesale,GHS,88.8
GHA,1/15/2015,ASHANTI,KMA,Kumasi,6.68,-1.62,cereals and tubers,Sorghum,109 KG,Wholesale,GHS,154
GHA,1/15/2015,ASHANTI,KMA,Kumasi,6.68,-1.62,cereals and tubers,Yam,100 Tubers,Wholesale,GHS,190
GHA,1/15/2015,ASHANTI,KMA,Kumasi,6.68,-1.62,vegetables and fruits,Plantains (apentu),Bunch,Wholesale,GHS,8
GHA,1/15/2015,ASHANTI,OBUASI MUNICIPAL,Obuasi,6.2,-1.67,cereals and tubers,Maize,100 KG,Wholesale,GHS,110
GHA,1/15/2015,ASHANTI,OBUASI MUNICIPAL,Obuasi,6.2,-1.67,cereals and tubers,Rice (imported),50 KG,Wholesale,GHS,210
GHA,1/15/2015,ASHANTI,OBUASI MUNICIPAL,Obuasi,6.2,-1.67,cereals and tubers,Rice (local),50 KG,Wholesale,GHS,90
