date,market,commodity,unit,pricetype,price,year_group_median,own_series_median,modified_z_score,decision,reason
1/15/2015,Sekondi/Takoradi,Plantains (apentu),Bunch,Wholesale,380.0,15.12,40.34,46.66,REMOVED_LIKELY_DATA_ENTRY_ERROR,modified_z=46.7; ratio_vs_own_series_median=9.4x; corroborated_by_other_markets=False; other_markets_same_date=10
1/15/2020,Sekondi/Takoradi,Cowpeas,KG,Retail,81.95,4.45,10.61,38.16,RETAINED_PLAUSIBLE_MARKET_EVENT,modified_z=38.2; ratio_vs_own_series_median=7.7x; corroborated_by_other_markets=False; other_markets_same_date=1
2/15/2021,Garu,Tomatoes (navrongo),52 KG,Wholesale,618.31,39.0,84.81,34.2,RETAINED_PLAUSIBLE_MARKET_EVENT,modified_z=34.2; ratio_vs_own_series_median=7.3x; corroborated_by_other_markets=True; other_markets_same_date=7
2/15/2021,Ejura,Tomatoes (navrongo),52 KG,Wholesale,585.22,39.0,12.91,32.25,RETAINED_PLAUSIBLE_MARKET_EVENT,modified_z=32.2; ratio_vs_own_series_median=45.3x; corroborated_by_other_markets=True; other_markets_same_date=7
2/15/2021,Kumasi,Tomatoes (navrongo),52 KG,Wholesale,515.19,39.0,44.12,28.11,RETAINED_PLAUSIBLE_MARKET_EVENT,modified_z=28.1; ratio_vs_own_series_median=11.7x; corroborated_by_other_markets=True; other_markets_same_date=7
4/15/2022,Tema,Plantains (apentu),KG,Retail,30.16,9.44,14.48,23.29,RETAINED_PLAUSIBLE_MARKET_EVENT,modified_z=23.3; ratio_vs_own_series_median=2.1x; corroborated_by_other_markets=False; other_markets_same_date=0
2/15/2021,Tema,Tomatoes (navrongo),52 KG,Wholesale,371.56,39.0,84.41,19.63,RETAINED_PLAUSIBLE_MARKET_EVENT,modified_z=19.6; ratio_vs_own_series_median=4.4x; corroborated_by_other_markets=True; other_markets_same_date=7
2/15/2021,Sekondi/Takoradi,Tomatoes (navrongo),52 KG,Wholesale,356.69,39.0,50.67,18.76,RETAINED_PLAUSIBLE_MARKET_EVENT,modified_z=18.8; ratio_vs_own_series_median=7.0x; corroborated_by_other_markets=True; other_markets_same_date=7
12/15/2020,Wa,Tomatoes (local),KG,Retail,69.04,7.83,17.99,17.2,RETAINED_PLAUSIBLE_MARKET_EVENT,modified_z=17.2; ratio_vs_own_series_median=3.8x; corroborated_by_other_markets=False; other_markets_same_date=0
5/15/2021,Koforidua,Maize (yellow),100 KG,Wholesale,1740.0,292.9,326.09,16.62,RETAINED_PLAUSIBLE_MARKET_EVENT,modified_z=16.6; ratio_vs_own_series_median=5.3x; corroborated_by_other_markets=False; other_markets_same_date=2
2/15/2021,Bolga,Tomatoes (navrongo),52 KG,Wholesale,306.79,39.0,72.66,15.81,RETAINED_PLAUSIBLE_MARKET_EVENT,modified_z=15.8; ratio_vs_own_series_median=4.2x; corroborated_by_other_markets=True; other_markets_same_date=7
8/15/2021,Tema,Soybeans,KG,Retail,66.67,10.82,11.86,15.7,RETAINED_PLAUSIBLE_MARKET_EVENT,modified_z=15.7; ratio_vs_own_series_median=5.6x; corroborated_by_other_markets=False; other_markets_same_date=0
12/15/2020,Cape Coast,Plantains (apem),Bunch,Wholesale,596.67,50.08,55.06,14.9,RETAINED_PLAUSIBLE_MARKET_EVENT,modified_z=14.9; ratio_vs_own_series_median=10.8x; corroborated_by_other_markets=True; other_markets_same_date=5
12/15/2020,Sekondi/Takoradi,Plantains (apem),Bunch,Wholesale,583.39,50.08,50.27,14.53,RETAINED_PLAUSIBLE_MARKET_EVENT,modified_z=14.5; ratio_vs_own_series_median=11.6x; corroborated_by_other_markets=True; other_markets_same_date=5
12/15/2019,Hohoe,Tomatoes (local),52 KG,Wholesale,176.89,20.52,50.76,13.81,RETAINED_PLAUSIBLE_MARKET_EVENT,modified_z=13.8; ratio_vs_own_series_median=3.5x; corroborated_by_other_markets=False; other_markets_same_date=6
6/15/2021,Tema,"Fish (mackerel, fresh)",KG,Retail,38.89,10.46,21.56,13.79,RETAINED_PLAUSIBLE_MARKET_EVENT,modified_z=13.8; ratio_vs_own_series_median=1.8x; corroborated_by_other_markets=False; other_markets_same_date=2
11/15/2019,Tema,"Fish (mackerel, fresh)",KG,Retail,41.67,4.98,21.56,13.2,RETAINED_PLAUSIBLE_MARKET_EVENT,modified_z=13.2; ratio_vs_own_series_median=1.9x; corroborated_by_other_markets=False; other_markets_same_date=4
9/15/2022,Sekondi/Takoradi,Tomatoes (local),52 KG,Wholesale,117.07,18.85,43.93,13.14,RETAINED_PLAUSIBLE_MARKET_EVENT,modified_z=13.1; ratio_vs_own_series_median=2.7x; corroborated_by_other_markets=False; other_markets_same_date=2
12/15/2019,Hohoe,Onions,73 KG,Wholesale,107.59,10.88,158.02,12.59,RETAINED_PLAUSIBLE_MARKET_EVENT,modified_z=12.6; ratio_vs_own_series_median=0.7x; corroborated_by_other_markets=False; other_markets_same_date=3
7/15/2020,Tema,Plantains (apentu),KG,Retail,55.56,7.8,14.48,12.44,RETAINED_PLAUSIBLE_MARKET_EVENT,modified_z=12.4; ratio_vs_own_series_median=3.8x; corroborated_by_other_markets=True; other_markets_same_date=2
8/15/2019,Kintampo,Soybeans,KG,Retail,24.6,2.49,17.25,12.22,RETAINED_PLAUSIBLE_MARKET_EVENT,modified_z=12.2; ratio_vs_own_series_median=1.4x; corroborated_by_other_markets=False; other_markets_same_date=11
