raw,resolution,resolved_to,rows
TEMA COMMUNITY ONE MAIN MARKET,NEW_MARKET,Tema Community One Main Market,1254
Mankessim,ATTACH_TO_EXISTING,Mankessim,1011
Goaso,NEW_MARKET,Goaso,762
NKWANTA,ATTACH_TO_EXISTING,Nkwanta,705
Nana Bosomah,NEW_MARKET,Nana Bosomah,701
Bibiani ,NEW_MARKET,Bibiani,635
Techiman,ATTACH_TO_EXISTING,Techiman,554
Techiman Market,ATTACH_TO_EXISTING,Techiman,445
,DROPPED,,434
WA MARKET,ATTACH_TO_EXISTING,Wa,422
Kintampo,ATTACH_TO_EXISTING,Kintampo,306
Kintampo ,ATTACH_TO_EXISTING,Kintampo,298
Bibiani,NEW_MARKET,Bibiani,282
Bamboi market,NEW_MARKET,Bamboi,234
BIBIANI ,NEW_MARKET,Bibiani,208
Koforidua Central Market ,ATTACH_TO_EXISTING,Koforidua,186
Bolga,ATTACH_TO_EXISTING,Bolga,143
Obuasi Central Market,ATTACH_TO_EXISTING,Obuasi,130
NKWANTA ,ATTACH_TO_EXISTING,Nkwanta,125
Wa Market,ATTACH_TO_EXISTING,Wa,122
BIBIANI,NEW_MARKET,Bibiani,120
Techiman Market ,ATTACH_TO_EXISTING,Techiman,99
Ho Central market,ATTACH_TO_EXISTING,Ho,89
AGBOGBLOSHIE,NEW_MARKET,Agbogbloshie,83
Nana Bosomah.,NEW_MARKET,Nana Bosomah,76
Makola Market,NEW_MARKET,Makola,75
AGBOGBLOSHIE MARKET,NEW_MARKET,Agbogbloshie,69
Tuesday Market,NEW_MARKET,Tuesday Market,62
Obuasi Central Market ,ATTACH_TO_EXISTING,Obuasi,61
"Nana Bosomah,",NEW_MARKET,Nana Bosomah,61
Nana Bosomah ,NEW_MARKET,Nana Bosomah,53
Gbintiri,NEW_MARKET,Gbintiri,50
Wa Market ,ATTACH_TO_EXISTING,Wa,49
Bolga ,ATTACH_TO_EXISTING,Bolga,44
210,DROPPED,,43
Wa  Market ,ATTACH_TO_EXISTING,Wa,42
 BIBIANI ,NEW_MARKET,Bibiani,40
Koforidua central ,ATTACH_TO_EXISTING,Koforidua,39
607,DROPPED,,33
TEMA COMMUNITY ONE MAIN  MARKET,NEW_MARKET,Tema Community One Main Market,32
Nana Bosomahɔ,NEW_MARKET,Nana Bosomah,31
208,DROPPED,,31
Garu,ATTACH_TO_EXISTING,Garu,31
Bolga market,ATTACH_TO_EXISTING,Bolga,30
Koforidua central market ,ATTACH_TO_EXISTING,Koforidua,28
Bolgatanga municipal market ,ATTACH_TO_EXISTING,Bolga,28
Tuesday market ,NEW_MARKET,Tuesday Market,26
Koforidua central,ATTACH_TO_EXISTING,Koforidua,26
AGBOGBLOSHIE MARKET ,NEW_MARKET,Agbogbloshie,24
Koforidua Central Market,ATTACH_TO_EXISTING,Koforidua,24
TUESDAY MARKET,NEW_MARKET,Tuesday Market,23
Gbintiri ,NEW_MARKET,Gbintiri,23
WA MARKET ,ATTACH_TO_EXISTING,Wa,23
Makola Market ,NEW_MARKET,Makola,18
Central marketm,ATTACH_TO_EXISTING,Koforidua,15
Central market,ATTACH_TO_EXISTING,Koforidua,15
KOFORIDUA CENTRAL MARKET ,ATTACH_TO_EXISTING,Koforidua,15
KINTAMPO ,ATTACH_TO_EXISTING,Kintampo,15
Kintampo.,ATTACH_TO_EXISTING,Kintampo,14
Central market ,ATTACH_TO_EXISTING,Koforidua,13
Koforidua Central ,ATTACH_TO_EXISTING,Koforidua,13
Bolgatanga Market,ATTACH_TO_EXISTING,Bolga,13
CENTRAL MARKET ,ATTACH_TO_EXISTING,Koforidua,13
Koforidua Central,ATTACH_TO_EXISTING,Koforidua,12
Koforidua,ATTACH_TO_EXISTING,Koforidua,11
Koforidua central market,ATTACH_TO_EXISTING,Koforidua,11
Bolgatanga,ATTACH_TO_EXISTING,Bolga,11
KOFORIDUA CENTRAL ,ATTACH_TO_EXISTING,Koforidua,11
Agatha Market ,NEW_MARKET,Agatha Market,10
Bowl,DROPPED,,9
OBUASI CENTRAL MARKET ,ATTACH_TO_EXISTING,Obuasi,8
GBINTIRI,NEW_MARKET,Gbintiri,7
Agatha  Market ,NEW_MARKET,Agatha Market,7
Obuasi Central ,ATTACH_TO_EXISTING,Obuasi,6
Wa market ,ATTACH_TO_EXISTING,Wa,6
Obuasi Central,ATTACH_TO_EXISTING,Obuasi,1
